Andrey,Klop,89027846724,AA07AMM,klop@gmail.com
Huey,Jason,89629053321,AAC792H,jjj@gmail.com
John,Snow,86664443241,AB15UVT,snowjo@gmail.com
Ramsy,Alien,89456754213,ABW940K,boltik@gmail.com
Kevin,Klein,89056725643,AC03BXC,klikli@gmail.com
Kate,Shadow,89023034519,AC08RRN,dark@gmail.com
Sansa,Stark,89076576572,ACD586D,needle@gmail.com
Eve,Polastry,89076723423,ACH210B,maniac@gmail.com
Glen,Forest,89043077896,ACR989D,green@gmail.com
Sara,Winston,89475616542,AD04RLG,wiwi@gmail.com
Garry,Alien,85413452671,AD07VYV,pie@gmail.com
Reichel,Gardner,86667776660,ADV666G,bird@gmail.com
Kuki,Shinobu,89765614982,ADY998J,band@gmail.com
Liana,Alien,89994724387,AE03MUU,scare@gmail.com
Usagi,Alien,83546791241,AE10BUA,rabbit@gmail.com
Sailor,Kido,89376197645,AF02NCK,moon@gmail.com
Momo,Kisaragi,89076123487,AF06JXP,attention@gmail.com
Pink,Unicorn,9876543210,AF07YEG,rainbow@gmail.com
Artur,Pendragon,84087903521,AHK975D,sword@gmail.com
Sasha,Saharova,89756432552,AJ15FTE,meow@gmail.com
